INFO  - 2015-11-25 20:52:24.106; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-11-25 20:52:24.123; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\Software\solr-4.8.1\example\contexts at interval 0
INFO  - 2015-11-25 20:52:24.128; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\Software\solr-4.8.1\example\contexts\solr-jetty-context.xml
INFO  - 2015-11-25 20:52:24.171; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/Software/solr-4.8.1/example/webapps/solr.war!/ to C:\Software\solr-4.8.1\example\solr-webapp\webapp
INFO  - 2015-11-25 20:52:26.792; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-11-25 20:52:26.840; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-11-25 20:52:26.852; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-11-25 20:52:26.852; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: solr
INFO  - 2015-11-25 20:52:26.853; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr\'
INFO  - 2015-11-25 20:52:26.943; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\Software\solr-4.8.1\example\solr\solr.xml
INFO  - 2015-11-25 20:52:26.995; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: C:\Software\solr-4.8.1\example\solr
INFO  - 2015-11-25 20:52:27.002; org.apache.solr.core.CoreContainer; New CoreContainer 4598077
INFO  - 2015-11-25 20:52:27.004; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr\]
INFO  - 2015-11-25 20:52:27.015; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-11-25 20:52:27.015; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-11-25 20:52:27.020; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-11-25 20:52:27.022; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-11-25 20:52:27.022; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-11-25 20:52:27.023; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-11-25 20:52:27.023; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-11-25 20:52:27.024; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-11-25 20:52:27.024; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-11-25 20:52:27.206; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-11-25 20:52:27.207; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-11-25 20:52:27.208; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-11-25 20:52:27.253; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath C:\Software\solr-4.8.1\example\solr
INFO  - 2015-11-25 20:52:27.261; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in C:\Software\solr-4.8.1\example\solr\collection1\
INFO  - 2015-11-25 20:52:27.262; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2015-11-25 20:52:27.264; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\Software\solr-4.8.1\example\solr\collection1\'
INFO  - 2015-11-25 20:52:27.306; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2015-11-25 20:52:27.308; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
